,Date,Last Price
214,2008-12-22,44.56
215,2008-12-23,45.02
216,2008-12-24,44.21
217,2008-12-26,43.38
218,2008-12-29,43.9
219,2008-12-30,41.63
220,2008-12-31,40.0
221,2009-01-02,39.19
222,2009-01-05,39.08
223,2009-01-06,38.56
224,2009-01-07,43.39
225,2009-01-08,42.56
226,2009-01-09,42.82
227,2009-01-12,45.84
228,2009-01-13,43.27
229,2009-01-14,49.14
230,2009-01-15,51.0
231,2009-01-16,46.11
232,2009-01-20,56.65
233,2009-01-21,46.42
234,2009-01-22,47.29
235,2009-01-23,47.27
236,2009-01-26,45.69
237,2009-01-27,42.25
238,2009-01-28,39.66
239,2009-01-29,42.63
240,2009-01-30,44.84
241,2009-02-02,45.52
242,2009-02-03,43.06
243,2009-02-04,43.85
244,2009-02-05,43.73
245,2009-02-06,43.37
246,2009-02-09,43.64
247,2009-02-10,46.67
248,2009-02-11,44.53
249,2009-02-12,41.25
250,2009-02-13,42.93
251,2009-02-17,48.66
252,2009-02-18,48.46
253,2009-02-19,47.08
254,2009-02-20,49.3
255,2009-02-23,52.62
256,2009-02-24,45.49
257,2009-02-25,44.67
258,2009-02-26,44.66
259,2009-02-27,46.35
260,2009-03-02,52.65
261,2009-03-03,50.93
262,2009-03-04,47.56
263,2009-03-05,50.17
264,2009-03-06,49.33
265,2009-03-09,49.68
266,2009-03-10,44.37
267,2009-03-11,43.61
268,2009-03-12,41.18
269,2009-03-13,42.36
270,2009-03-16,43.74
271,2009-03-17,40.8
272,2009-03-18,40.06
273,2009-03-19,43.68
274,2009-03-20,45.89
275,2009-03-23,43.23
276,2009-03-24,42.93
277,2009-03-25,42.25
278,2009-03-26,40.36
279,2009-03-27,41.04
280,2009-03-30,45.54
281,2009-03-31,44.14
282,2009-04-01,42.28
283,2009-04-02,42.04
284,2009-04-03,39.7
285,2009-04-06,40.93
286,2009-04-07,40.39
287,2009-04-08,38.85
288,2009-04-09,36.53
289,2009-04-13,37.81
290,2009-04-14,37.67
291,2009-04-15,36.17
292,2009-04-16,35.79
293,2009-04-17,33.94
294,2009-04-20,39.18
295,2009-04-21,37.14
296,2009-04-22,38.1
297,2009-04-23,37.15
298,2009-04-24,36.82
299,2009-04-27,38.32
300,2009-04-28,37.95
301,2009-04-29,36.08
302,2009-04-30,36.5
303,2009-05-01,35.3
304,2009-05-04,34.53
